uid,ifc_class,name,tier_label,neighbor_count,top1_title,top1_score,top1_source,top1_path
IfcPipeSegment-0tZgj2n4j7neNsQ08k3WsT,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-22Xr2mF15CbQCVR$W_$VLh,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-1wwTT4jtX3C9e82mYC6YGT,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-1GXiy3xWf0fOQdC$gO8JfW,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-0URFt4JXXD6OjZF8OrkR8N,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-1kpVA_DFf3PRJR$l8yqtLr,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-3ctB5z6nHCoQBWFJYnFhI5,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-11LWvWX7HAOghcDUC_Fsn5,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-2L8jfzclb09OjhbeQoBDvs,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-0SESIjUgvFsOoEqvCaV5Br,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-1FDcvNA_L4dfRDGP$UNpz1,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-0RPLlDbKvCJwFzsj8RPg4X,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-1PYbWto7LA0hTpEdNPg6Df,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcSlab-0J1GxQ5qP3eAw0004,IfcSlab,Test Slab,Floors,0,ifcslab,19.96995983839744,ifc_schema,ifcsharedbldgelements/lexical/ifcslab.htm
IfcColumn-0J1GxQ5qP3eAw0005,IfcColumn,Test Column,Columns (Concrete),0,ifccolumntypeenum,26.92082977274328,ifc_schema,ifcsharedbldgelements/lexical/ifccolumntypeenum.htm
IfcDoor-0J1GxQ5qP3eAw0006,IfcDoor,Test Door,Doors,0,ifcdoor,22.239926906242395,ifc_schema,ifcsharedbldgelements/lexical/ifcdoor.htm
