asset_id,flag,reason
ee457c88-7a5a-5ad6-9ef2-502737c93b8f,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
8c984dbc-daac-50de-9225-18cfc53aa4f5,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
8f2be0ce-58c9-5cce-ad01-9a1d98df4f1a,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
b99f191c-835f-5e4e-99b9-efa8d42fca12,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
98bcb2f7-0da8-59b6-9029-bd27d00c3069,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
991262f6-c3af-56c0-b09d-23bfd3b2ced8,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
6b8c8b33-e58c-5048-892b-a832c4a3be6a,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
796d2226-a5f6-5ddb-b8d1-6cdf311c19f8,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
f02f977b-9ea3-52c1-b400-685722fb95a1,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
dae72d76-f760-5075-b4cb-e2c1b75aedb7,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
67f7fb35-dcac-5c64-8d44-b6ed73c7b85d,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
b35d7d25-b7e2-50bb-ab83-5ef99fec0525,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
c98d6821-cb58-52cd-ab98-05f8682308fe,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
85daa443-a3f2-5bc4-a274-ce5a9b6ae5cd,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
46204c4e-3bc2-536e-9a4f-399d556d1340,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
02fb212f-7e57-56f0-afb5-c653cd489e8e,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
89e0dea8-a39b-521c-af50-672ec5ad7289,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
50a90e05-d7f1-56df-9b6e-753076311bfa,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
08364737-c5fc-56d4-8397-632aa2d630af,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
3fe145f0-bd3e-5094-9e27-0893ecf8645f,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
a2507375-4f7e-56fd-9ffe-5e13f0dcf28d,MISSING_REQUIRED_PROPERTY,flow_rate
1ab582bf-f197-56f9-bacf-df28eca59236,MISSING_REQUIRED_PROPERTY,flow_rate
e6290070-4cd6-5528-8d74-fd8a1e4cf360,MISSING_REQUIRED_PROPERTY,flow_rate
5b33c30a-3597-59f7-9d28-5b4e3d54ce11,MISSING_REQUIRED_PROPERTY,flow_rate
1044bd5b-1aa9-5a45-8175-a83230aa64b1,MISSING_REQUIRED_PROPERTY,flow_rate
3f897e63-e792-57dd-b75b-2830c973a92f,MISSING_REQUIRED_PROPERTY,flow_rate
0c99b439-5104-5b34-bdb5-8b689ace6ae4,MISSING_REQUIRED_PROPERTY,flow_rate
6847e6c2-56e3-5119-8cda-57b38138bf49,MISSING_REQUIRED_PROPERTY,flow_rate
59c66640-3661-5cea-827b-e12990308d69,MISSING_REQUIRED_PROPERTY,flow_rate
01be6d39-093b-54ae-9ba8-f3c6b7534eee,MISSING_REQUIRED_PROPERTY,flow_rate
13e76844-4f71-5d1a-9704-72443614a1ff,MISSING_REQUIRED_PROPERTY,flow_rate
9ffebfe2-fe96-51fe-9e8b-d22d3a913c31,MISSING_REQUIRED_PROPERTY,flow_rate
af2d86fd-597d-554a-a77a-90e2a11ba550,MISSING_REQUIRED_PROPERTY,flow_rate
1c31506d-a26e-546a-b513-abc370f3e3d8,MISSING_REQUIRED_PROPERTY,flow_rate
a4acf30b-a604-52e0-9603-3eb24fbc7ce7,MISSING_REQUIRED_PROPERTY,flow_rate
e76865e4-443b-5e0b-964d-099487c6122c,MISSING_REQUIRED_PROPERTY,flow_rate
87b37135-2e5c-5f73-acbe-fd131558b00f,MISSING_REQUIRED_PROPERTY,flow_rate
04298c0d-3d82-5ce0-9ff5-ff8dcebdf42e,MISSING_REQUIRED_PROPERTY,flow_rate
7a60a185-ad41-5452-a27b-7699fcd7526d,MISSING_REQUIRED_PROPERTY,flow_rate
a0e5ee38-2247-5216-afa9-e8e7ba248e91,MISSING_REQUIRED_PROPERTY,flow_rate
becec484-bf84-55d0-a3b2-2b73bdb21b67,MISSING_REQUIRED_PROPERTY,flow_rate
e8260ae6-ffba-5115-9f7e-05999bc2d557,MISSING_REQUIRED_PROPERTY,flow_rate
0b2959f3-b6d8-5d5d-aa87-99f90ff4b5aa,MISSING_REQUIRED_PROPERTY,flow_rate
501d419f-a506-5a17-86e8-70324e5101e9,MISSING_REQUIRED_PROPERTY,flow_rate
fdfc9187-15cc-526c-9ef7-d36bcea528ee,MISSING_REQUIRED_PROPERTY,flow_rate
d5e5d388-575f-5c38-b614-8eaff37e5875,MISSING_REQUIRED_PROPERTY,flow_rate
e6c9d46c-72b1-55fe-bd09-29ecbb88cea4,MISSING_REQUIRED_PROPERTY,flow_rate
4fdcfd85-293a-5a2a-b77d-33d368b8d65d,MISSING_REQUIRED_PROPERTY,flow_rate
1d268725-933d-5c8f-b46d-7e2856a06fe3,MISSING_REQUIRED_PROPERTY,flow_rate
d24e8b67-e0f5-5760-8cf5-c3869637e8e8,MISSING_REQUIRED_PROPERTY,flow_rate
36fa9283-d50c-5bea-bd94-496c425effb6,MISSING_REQUIRED_PROPERTY,flow_rate
cd167c91-8daa-5031-98be-eb5c21f635af,MISSING_REQUIRED_PROPERTY,flow_rate
ef935a87-3e8f-53f7-9c6b-29b41e06ce4f,MISSING_REQUIRED_PROPERTY,flow_rate
5359e94c-9fd6-5bab-a25b-677d137912a3,MISSING_REQUIRED_PROPERTY,flow_rate
8b56ca3e-e6bd-584d-b73d-dae57995e4a1,MISSING_REQUIRED_PROPERTY,flow_rate
5099ec48-6fe9-5898-8612-6e21807e745a,MISSING_REQUIRED_PROPERTY,flow_rate
58e32f37-ffb7-5966-9a2b-c5741de7f0be,MISSING_REQUIRED_PROPERTY,flow_rate
f480f01b-eaf1-5d33-8c5d-92341eeca3b2,MISSING_REQUIRED_PROPERTY,flow_rate
6fda590e-9846-5c49-b0b9-5c5289932c4a,MISSING_REQUIRED_PROPERTY,flow_rate
a4f432d0-36b9-59a3-ba48-4e950b03c8a6,MISSING_REQUIRED_PROPERTY,flow_rate
9a487d74-b404-52be-9129-a61902a2b275,MISSING_REQUIRED_PROPERTY,flow_rate
d22193e4-4158-5199-a264-0829386bf5f1,MISSING_REQUIRED_PROPERTY,flow_rate
90cb0b0d-7777-578f-86fd-5644d0ae880f,MISSING_REQUIRED_PROPERTY,flow_rate
72443bc8-722f-5c98-a01b-69c304d436ac,MISSING_REQUIRED_PROPERTY,flow_rate
40625ea3-740a-5c85-88db-1d2b76b31821,MISSING_REQUIRED_PROPERTY,flow_rate
284c676e-1e03-5e7e-a5e7-39d952059721,MISSING_REQUIRED_PROPERTY,flow_rate
9d3b04cf-f66c-5ebb-b69e-03ecc13a8da6,MISSING_REQUIRED_PROPERTY,flow_rate
687bd0fe-1464-58cb-b1dc-f8f79b650c70,MISSING_REQUIRED_PROPERTY,flow_rate
6eaf7f65-7076-5486-a8ca-5deb00423766,MISSING_REQUIRED_PROPERTY,flow_rate
ba55ce01-0883-54a4-930d-a18c13e2d56f,MISSING_REQUIRED_PROPERTY,flow_rate
93e8738f-9eb0-5536-a551-4d1c506af46e,MISSING_REQUIRED_PROPERTY,flow_rate
bd98bded-873b-5a37-ba85-9178361e7b3c,MISSING_REQUIRED_PROPERTY,flow_rate
ef9b2022-8b5c-5695-b937-b446b04e17b9,MISSING_REQUIRED_PROPERTY,flow_rate
b8a89871-64ed-5562-8f35-caaecb96216c,MISSING_REQUIRED_PROPERTY,flow_rate
9be6b711-5b23-5806-bb9d-d6acd2da17f4,MISSING_REQUIRED_PROPERTY,flow_rate
d514ac0d-8337-5fdc-8f18-f60a58622461,MISSING_REQUIRED_PROPERTY,flow_rate
ed0f36df-efb3-56d5-97b7-13f9486b4f12,MISSING_REQUIRED_PROPERTY,flow_rate
8ee0f683-dfc3-5f59-974c-2be62eb46618,MISSING_REQUIRED_PROPERTY,flow_rate
c8c72153-0f30-5f86-bbfd-94c2ba2dacdb,MISSING_REQUIRED_PROPERTY,flow_rate
17dc3cd7-e9e9-525f-bd59-38887f183542,MISSING_REQUIRED_PROPERTY,flow_rate
592baedf-4feb-5c15-9295-1ed767b8cfda,MISSING_REQUIRED_PROPERTY,flow_rate
