asset_id,relation,direction,neighbor_class,neighbor_name,neighbor_uid
472b37a4-b568-5444-921d-633e675aed02,Aggregates,down,IfcDistributionPort,OutPort_447001,IfcDistributionPort-0rwtGYuCr9Fxq7qeI5CjMN
e8326287-9b30-5ed1-a327-de211ad6e7a6,ContainedIn,up,IfcSpace,18,IfcSpace-2oBLA5YgD2FBMABn8wAmwT
e8326287-9b30-5ed1-a327-de211ad6e7a6,Aggregates,down,IfcDistributionPort,InPort_447045,IfcDistributionPort-34qnFsT3L2BBsEpEVnYupS
e8326287-9b30-5ed1-a327-de211ad6e7a6,Aggregates,down,IfcDistributionPort,OutPort_447045,IfcDistributionPort-2qN8j0F4DCeBFMzP02aaQN
e8326287-9b30-5ed1-a327-de211ad6e7a6,Aggregates,down,IfcDistributionPort,InPort_447045,IfcDistributionPort-1738s92_53ZQCPXjQPE9Nl
a5740a43-2b50-5590-8926-004b27f2a485,ContainedIn,up,IfcSpace,18,IfcSpace-2oBLA5YgD2FBMABn8wAmwT
a5740a43-2b50-5590-8926-004b27f2a485,Aggregates,down,IfcDistributionPort,OutPort_447046,IfcDistributionPort-06SfnG3aL3MuM40L87TJY_
a5740a43-2b50-5590-8926-004b27f2a485,Aggregates,down,IfcDistributionPort,InPort_447046,IfcDistributionPort-1bQR5P3pr0EgPknJlhkhZA
ff8a67e1-b609-574f-95a2-de8532553721,ContainedIn,up,IfcSpace,18,IfcSpace-2oBLA5YgD2FBMABn8wAmwT
ff8a67e1-b609-574f-95a2-de8532553721,Aggregates,down,IfcDistributionPort,OutPort_447047,IfcDistributionPort-1NcMQPnu1BHBFipquGlzXF
e5f91529-6c31-58d0-b0b2-092c7ab15186,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
e5f91529-6c31-58d0-b0b2-092c7ab15186,Aggregates,down,IfcDistributionPort,InPort_447049,IfcDistributionPort-2aMRFWWLf88xRwqS4bzBz8
e5f91529-6c31-58d0-b0b2-092c7ab15186,Aggregates,down,IfcDistributionPort,InPort_447049,IfcDistributionPort-1o_BZ6ZHD9OvIhFiUWmJbi
e198f976-1f65-5d7b-ac58-6a1a48cd45c4,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
e198f976-1f65-5d7b-ac58-6a1a48cd45c4,Aggregates,down,IfcDistributionPort,OutPort_447165,IfcDistributionPort-2MyFTMzs14SA6GHlki1jYB
e198f976-1f65-5d7b-ac58-6a1a48cd45c4,Aggregates,down,IfcDistributionPort,InPort_447165,IfcDistributionPort-11$5PPl$r5kwBdGRI$HN$d
e198f976-1f65-5d7b-ac58-6a1a48cd45c4,Aggregates,down,IfcDistributionPort,OutPort_447165,IfcDistributionPort-3x266OF292ruKNhdYqmPd6
15766a7e-280b-5ddf-81f9-6e89bcc95400,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
15766a7e-280b-5ddf-81f9-6e89bcc95400,Aggregates,down,IfcDistributionPort,OutPort_447199,IfcDistributionPort-1JI0aqn85DrA$BiEJT3mGm
15766a7e-280b-5ddf-81f9-6e89bcc95400,Aggregates,down,IfcDistributionPort,OutPort_447199,IfcDistributionPort-1fHHD0L_140REYBWPlTPmx
15766a7e-280b-5ddf-81f9-6e89bcc95400,Aggregates,down,IfcDistributionPort,InPort_447199,IfcDistributionPort-1D1vKC7T1239GNguV_UGuL
6240d67f-6aa3-5caa-a00b-bb01539d3911,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
6240d67f-6aa3-5caa-a00b-bb01539d3911,Aggregates,down,IfcDistributionPort,OutPort_447209,IfcDistributionPort-2fHnYFH6v0tA8yt9ohjWCE
6240d67f-6aa3-5caa-a00b-bb01539d3911,Aggregates,down,IfcDistributionPort,InPort_447209,IfcDistributionPort-3Xx9jrZuT269j7rMCaSnm1
6caa8b80-02ac-5563-a21b-44968083d5f7,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
6caa8b80-02ac-5563-a21b-44968083d5f7,Aggregates,down,IfcDistributionPort,OutPort_447290,IfcDistributionPort-3kqtLVJgH4OPX9858PSqGC
6caa8b80-02ac-5563-a21b-44968083d5f7,Aggregates,down,IfcDistributionPort,InPort_447290,IfcDistributionPort-0BtFmmK61EQAYveoZ8ixxx
73c64c05-b5a4-5f91-b493-c6f84478c76e,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
73c64c05-b5a4-5f91-b493-c6f84478c76e,Aggregates,down,IfcDistributionPort,OutPort_447335,IfcDistributionPort-2X1N7_GXfAQQ$tfJk24lG8
73c64c05-b5a4-5f91-b493-c6f84478c76e,Aggregates,down,IfcDistributionPort,InPort_447335,IfcDistributionPort-2u3mJ8WUvAaeODgiDaGGAj
9f07523b-5ab3-5b1f-87c0-e10b8e208a04,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
9f07523b-5ab3-5b1f-87c0-e10b8e208a04,Aggregates,down,IfcDistributionPort,InPort_447362,IfcDistributionPort-10LWrY3XnFgfGirbfBoEUW
9f07523b-5ab3-5b1f-87c0-e10b8e208a04,Aggregates,down,IfcDistributionPort,OutPort_447362,IfcDistributionPort-1IvthHUR5C$hJLKe8Xfrkv
a18e381c-19ea-5ae0-ab58-d149448f98f6,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
a18e381c-19ea-5ae0-ab58-d149448f98f6,Aggregates,down,IfcDistributionPort,InPort_447402,IfcDistributionPort-1OHJouBkHC7flZVYoTVGFh
a18e381c-19ea-5ae0-ab58-d149448f98f6,Aggregates,down,IfcDistributionPort,InPort_447402,IfcDistributionPort-0x9OjiVRr4A8UG33NsRZji
47131152-e231-5ef7-a257-9c70a0c0e3ce,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
47131152-e231-5ef7-a257-9c70a0c0e3ce,Aggregates,down,IfcDistributionPort,OutPort_447460,IfcDistributionPort-3jYa6QrYXDFQDkAXORDt2Z
47131152-e231-5ef7-a257-9c70a0c0e3ce,Aggregates,down,IfcDistributionPort,InPort_447460,IfcDistributionPort-3as5bY0yT7cvjbn6eHW1Da
fa08af25-1a79-5144-bfe3-a755acdcc818,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
fa08af25-1a79-5144-bfe3-a755acdcc818,Aggregates,down,IfcDistributionPort,InPort_447473,IfcDistributionPort-3mH7nlhKn8kg1tjbhir1Mn
fa08af25-1a79-5144-bfe3-a755acdcc818,Aggregates,down,IfcDistributionPort,OutPort_447473,IfcDistributionPort-2rWwNGzzjB5PQkQRIjm7oZ
eb27ff5b-01b0-571d-9335-5fe987048cc1,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
eb27ff5b-01b0-571d-9335-5fe987048cc1,Aggregates,down,IfcDistributionPort,InPort_447500,IfcDistributionPort-0KQ6jR2ND8m9EP6L8mpCGA
eb27ff5b-01b0-571d-9335-5fe987048cc1,Aggregates,down,IfcDistributionPort,OutPort_447500,IfcDistributionPort-3$BlZ6NDTFz8W98tH3sWPb
f5d557ce-a3c7-5adb-8eca-aa9e5711af52,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
f5d557ce-a3c7-5adb-8eca-aa9e5711af52,Aggregates,down,IfcDistributionPort,InPort_447512,IfcDistributionPort-00WwIFMerCYPaLXhcELhqs
f5d557ce-a3c7-5adb-8eca-aa9e5711af52,Aggregates,down,IfcDistributionPort,OutPort_447512,IfcDistributionPort-34hN5VM$j2S9SXBnpjwWm3
a3de6c59-2786-5b8d-bd36-2a4c874c8589,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
a3de6c59-2786-5b8d-bd36-2a4c874c8589,Aggregates,down,IfcDistributionPort,OutPort_447562,IfcDistributionPort-0ug9KU7gL7gBA2yB9E0R3g
a3de6c59-2786-5b8d-bd36-2a4c874c8589,Aggregates,down,IfcDistributionPort,InPort_447562,IfcDistributionPort-1ymVQM4FDCRu1HTMu_W$5c
923b8314-ae99-53e1-9670-8a2229408e6d,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
923b8314-ae99-53e1-9670-8a2229408e6d,Aggregates,down,IfcDistributionPort,OutPort_447594,IfcDistributionPort-14WGvpSGL2xwrAqlNKxc$9
923b8314-ae99-53e1-9670-8a2229408e6d,Aggregates,down,IfcDistributionPort,InPort_447594,IfcDistributionPort-1uToja925B7Oxl6r93RoUo
d1a66048-0631-510d-abd3-551edf1ce606,ContainedIn,up,IfcSpace,49,IfcSpace-3XrBtx9eX7mQE6EqWHPfPG
d1a66048-0631-510d-abd3-551edf1ce606,Aggregates,down,IfcDistributionPort,OutPort_447645,IfcDistributionPort-0oPsqIM1zF6e9EB3URdDQA
d1a66048-0631-510d-abd3-551edf1ce606,Aggregates,down,IfcDistributionPort,OutPort_447645,IfcDistributionPort-3Holan6B10M8HEeHCxPxvp
b0152279-948c-5f56-a220-952478ee70a4,ContainedIn,up,IfcSpace,10,IfcSpace-3XrBtx9eX7mQE6EqWHPfwt
b0152279-948c-5f56-a220-952478ee70a4,Aggregates,down,IfcDistributionPort,OutPort_447693,IfcDistributionPort-3PuZ15E6D4phJk5yBTy91e
b0152279-948c-5f56-a220-952478ee70a4,Aggregates,down,IfcDistributionPort,OutPort_447693,IfcDistributionPort-1a8$Z2qKrEHQtoiEDgyUr7
c662d69a-69d4-552d-b429-ea7bcff8651e,ContainedIn,up,IfcSpace,9,IfcSpace-3XrBtx9eX7mQE6EqWHPfws
c662d69a-69d4-552d-b429-ea7bcff8651e,Aggregates,down,IfcDistributionPort,InPort_447707,IfcDistributionPort-0NqwCo4ODDrxLUMoTwtJPl
c662d69a-69d4-552d-b429-ea7bcff8651e,Aggregates,down,IfcDistributionPort,OutPort_447707,IfcDistributionPort-1p0rApLHLB7vHl7G_9lBFy
ca9b4133-4aea-5dbe-ba8a-866ea99dc545,ContainedIn,up,IfcSpace,6,IfcSpace-3XrBtx9eX7mQE6EqWHPfwm
ca9b4133-4aea-5dbe-ba8a-866ea99dc545,Aggregates,down,IfcDistributionPort,InPort_447773,IfcDistributionPort-1zeZbBYIn5WfDU4i3HfjXN
